"Id";"S_allBees";"S_allBees_noApis";"S_Bombus";"S_socialBees";"S_solitaryBees";"S_otherAculeata";"S_Syrphidae";"S_Coleoptera";"S_allPollinators";"S_allBees_Carrot";"S_allBees_noApis_Carrot";"S_Bombus_Carrot";"S_socialBees_Carrot";"S_solitaryBees_Carrot";"S_otherAculeata_Carrot";"S_Syrphidae_Carrot";"S_Coleoptera_Carrot";"S_allPollinators_Carrot";"S_allBees_Radish";"S_allBees_noApis_Radish";"S_Bombus_Radish";"S_socialBees_Radish";"S_solitaryBees_Radish";"S_otherAculeata_Radish";"S_Syrphidae_Radish";"S_Coleoptera_Radish";"S_allPollinators_Radish";"S_allBees_Sainfoin";"S_allBees_noApis_Sainfoin";"S_Bombus_Sainfoin";"S_socialBees_Sainfoin";"S_solitaryBees_Sainfoin";"S_allPollinators_Sainfoin";"S_allBees_Comfrey";"S_allBees_noApis_Comfrey";"S_Bombus_Comfrey";"S_socialBees_Comfrey";"S_allPollinators_Comfrey"
2;24;23;4;9;13;5;12;6;47;14;13;1;3;10;4;5;6;29;15;14;3;8;5;1;9;1;26;7;6;3;3;3;7;3;3;3;3;3
7;12;11;3;8;2;1;12;4;29;6;5;0;3;2;1;8;3;18;8;7;1;6;0;1;8;1;18;0;0;0;0;0;0;3;3;3;3;3
8;19;18;5;8;9;5;11;7;42;14;13;1;3;9;5;9;7;35;4;3;1;3;0;1;5;0;10;2;1;1;1;0;2;4;4;4;4;4
11;15;14;3;7;7;2;10;1;28;10;9;2;5;4;2;8;1;21;7;6;0;4;2;0;6;0;13;2;1;0;0;1;2;3;3;3;3;3
17;18;17;4;7;8;4;15;3;40;12;11;1;3;6;4;9;2;27;11;11;3;6;3;0;12;1;24;2;2;2;2;0;2;1;1;1;1;1
19;18;17;4;7;8;3;4;0;24;14;13;1;4;7;2;4;0;20;6;5;0;3;2;1;1;0;8;1;0;0;0;0;1;4;4;4;4;4
25;27;26;3;9;15;3;13;5;48;20;19;1;6;12;3;12;4;39;12;11;3;7;3;1;5;1;19;3;2;1;1;1;3;3;3;3;3;3
27;19;18;2;5;12;1;4;1;25;10;9;0;1;7;1;3;1;15;11;10;0;3;7;0;3;0;14;1;0;0;0;0;1;2;2;2;2;2
28;17;16;3;7;9;4;9;5;35;9;8;0;2;6;3;4;4;20;8;7;0;4;3;1;6;3;18;1;0;0;0;0;1;3;3;3;3;3
30;25;24;5;9;15;4;10;3;42;16;15;0;4;11;4;9;3;32;11;10;0;4;6;1;4;0;16;4;4;1;1;3;4;5;5;5;5;5
39;11;10;3;6;4;2;9;4;26;8;7;1;4;3;2;5;3;18;3;2;0;2;0;0;6;1;10;1;1;0;0;1;1;2;2;2;2;2
40;21;20;4;8;11;6;10;8;45;14;13;1;5;7;6;9;5;34;6;5;0;3;2;0;4;3;13;5;5;2;2;3;5;2;2;2;2;2
41;23;22;3;7;14;4;14;5;46;12;11;0;4;7;4;12;5;33;12;11;0;4;6;0;5;0;17;3;3;0;0;3;3;3;3;3;3;3
47;27;26;3;8;16;3;12;2;44;19;18;1;5;12;3;8;2;32;8;7;0;4;2;0;9;0;17;5;5;1;1;4;5;3;3;3;3;3
48;15;14;3;6;7;3;5;0;23;10;9;1;3;6;1;1;0;12;6;5;0;3;1;2;4;0;12;1;1;0;0;1;1;3;3;3;3;3
52;14;13;4;8;4;2;15;1;32;8;7;0;4;2;1;8;1;18;7;6;0;4;2;1;10;0;18;1;1;0;0;1;1;4;4;4;4;4
53;17;16;4;7;9;0;6;0;23;7;6;0;2;4;0;3;0;10;11;10;0;3;7;0;4;0;15;1;0;0;0;0;1;4;4;4;4;4
56;23;22;3;9;11;13;13;6;54;17;16;1;4;11;12;11;6;46;12;12;0;5;5;0;6;1;19;1;1;1;1;0;1;2;2;2;2;2
59;17;16;1;6;7;6;14;2;38;15;14;1;5;6;5;11;2;33;7;6;0;4;1;0;7;0;14;3;2;1;1;1;3;1;1;1;1;1
71;28;27;6;10;15;10;11;9;58;16;15;1;3;12;9;10;8;43;10;9;1;5;2;1;5;2;18;5;5;3;3;2;5;5;5;5;5;5
73;19;18;3;6;10;0;12;1;32;14;13;1;4;9;0;6;1;21;11;10;1;4;4;0;9;0;20;1;0;0;0;0;1;2;2;2;2;2
83;20;19;2;7;12;5;10;7;42;13;12;0;3;9;5;5;7;30;6;5;0;4;1;0;7;0;13;3;3;1;1;2;3;2;2;2;2;2
84;29;28;6;10;15;1;17;7;54;24;23;3;6;14;1;13;6;44;10;9;1;6;2;0;9;1;20;0;0;0;0;0;0;5;5;5;5;5
85;22;21;2;8;11;4;19;1;45;15;14;0;5;7;3;12;1;31;13;12;1;6;5;1;12;0;26;3;3;1;1;2;3;2;2;2;2;2
