"Id";"A_allBees";"A_allBees_noApis";"A_Apis";"A_Bombus";"A_socialBees";"A_solitaryBees";"A_otherAculeata";"A_Syrphidae";"A_Coleoptera";"A_allPollinators";"A_allBees_Carrot";"A_allBees_noApis_Carrot";"A_Apis_Carrot";"A_Bombus_Carrot";"A_socialBees_Carrot";"A_solitaryBees_Carrot";"A_otherAculeata_Carrot";"A_Syrphidae_Carrot";"A_Coleoptera_Carrot";"A_allPollinators_Carrot";"A_allBees_Radish";"A_allBees_noApis_Radish";"A_Apis_Radish";"A_Bombus_Radish";"A_socialBees_Radish";"A_solitaryBees_Radish";"A_otherAculeata_Radish";"A_Syrphidae_Radish";"A_Coleoptera_Radish";"A_allPollinators_Radish";"A_allBees_Sainfoin";"A_allBees_noApis_Sainfoin";"A_Apis_Sainfoin";"A_Bombus_Sainfoin";"A_socialBees_Sainfoin";"A_solitaryBees_Sainfoin";"A_allPollinators_Sainfoin";"A_allBees_Comfrey";"A_allBees_noApis_Comfrey";"A_Bombus_Comfrey";"A_socialBees_Comfrey";"A_allPollinators_Comfrey"
2;212;202;10;20;125;74;5;58;12;287;78;73;5;2;15;58;4;12;11;105;113;109;4;5;97;9;1;46;1;161;12;11;1;4;4;7;12;9;9;9;9;9
7;84;71;13;7;67;3;2;55;4;145;13;9;4;0;6;3;1;13;3;30;65;56;9;1;55;0;1;42;1;109;0;0;0;0;0;0;0;6;6;6;6;6
8;95;68;28;11;35;31;8;60;12;175;74;49;25;1;16;31;7;45;12;138;11;10;1;1;10;0;1;15;0;27;4;3;1;3;3;0;4;6;6;6;6;6
11;70;58;15;10;45;13;2;94;1;167;26;19;7;3;9;10;2;35;1;64;35;31;4;0;29;2;0;59;0;94;2;1;1;0;0;1;2;7;7;7;7;7
17;143;138;5;25;97;33;4;131;4;282;34;29;5;1;9;16;4;38;3;79;92;92;0;7;71;17;0;93;1;186;5;5;0;5;5;0;5;12;12;12;12;12
19;177;105;85;22;48;55;6;8;0;188;113;68;45;2;20;46;2;4;0;119;43;17;26;0;8;9;1;4;0;48;1;0;1;0;0;0;1;20;20;20;20;20
25;180;173;13;19;112;57;7;125;7;319;73;69;4;1;17;50;5;51;6;135;91;89;2;5;82;5;2;74;1;168;4;3;1;1;1;2;4;12;12;12;12;12
27;163;137;39;8;66;70;1;41;1;206;59;55;4;0;4;50;1;6;1;67;93;74;19;0;54;20;0;35;0;128;3;0;3;0;0;0;3;8;8;8;8;8
28;113;91;27;8;65;26;4;49;7;173;30;26;4;0;4;22;3;18;4;55;74;57;17;0;53;4;1;31;3;109;1;0;1;0;0;0;1;8;8;8;8;8
30;164;154;11;17;56;98;9;39;7;219;78;70;8;0;7;63;8;21;7;114;66;64;2;0;32;32;1;18;0;85;5;5;0;2;2;3;5;15;15;15;15;15
39;60;52;8;5;36;16;3;48;17;128;26;21;5;1;6;15;3;28;5;62;29;26;3;0;26;0;0;20;12;61;1;1;0;0;0;1;1;4;4;4;4;4
40;131;116;17;11;46;69;7;34;10;182;77;64;13;1;12;51;7;27;7;118;41;39;2;0;24;15;0;7;3;51;6;6;0;3;3;3;6;7;7;7;7;7
41;203;158;47;11;110;47;5;73;7;288;82;51;31;0;19;32;5;53;7;147;107;93;14;0;80;12;0;20;0;127;3;3;0;0;0;3;3;11;11;11;11;11
47;242;221;24;20;124;95;6;68;3;319;141;127;14;3;41;85;6;31;3;181;77;70;7;0;66;3;0;37;0;114;10;10;0;3;3;7;10;14;14;14;14;14
48;111;84;31;7;42;37;4;10;0;125;43;37;6;1;12;25;2;1;0;46;61;40;21;0;24;11;2;9;0;72;1;1;0;0;0;1;1;6;6;6;6;6
52;103;81;24;19;71;9;2;75;1;181;48;29;19;0;24;4;1;25;1;75;34;31;3;0;28;3;1;50;0;85;2;2;0;0;0;2;2;19;19;19;19;19
53;172;134;46;16;62;72;0;38;0;210;65;52;13;0;5;47;0;5;0;70;90;66;24;0;41;25;0;33;0;123;1;0;1;0;0;0;1;16;16;16;16;16
56;225;217;8;19;88;124;23;75;11;333;132;124;8;1;12;110;22;36;10;200;75;75;0;0;58;14;0;39;1;115;2;2;0;2;2;0;2;16;16;16;16;16
59;193;171;24;17;144;21;7;72;3;274;68;54;14;2;35;15;6;40;3;117;103;97;6;0;94;1;0;32;0;135;8;6;2;1;1;5;8;14;14;14;14;14
71;220;205;15;36;122;80;16;86;17;339;98;91;7;1;17;74;13;35;13;159;86;78;8;1;71;4;3;51;4;144;6;6;0;4;4;2;6;30;30;30;30;30
73;126;99;28;6;72;22;0;57;1;184;37;21;16;1;5;16;0;12;1;50;84;74;10;1;63;6;0;45;0;129;1;0;1;0;0;0;1;4;4;4;4;4
83;80;59;21;9;39;20;8;48;17;153;34;23;11;0;7;16;8;14;17;73;34;24;10;0;23;1;0;34;0;68;7;7;0;4;4;3;7;5;5;5;5;5
84;238;209;31;29;97;105;2;128;9;377;153;133;20;5;34;94;2;103;8;266;62;53;9;1;40;11;0;25;1;88;0;0;0;0;0;0;0;23;23;23;23;23
85;110;103;7;11;68;31;6;135;1;251;38;32;6;0;9;20;3;35;1;77;60;59;1;1;49;9;2;100;0;162;4;4;0;2;2;2;4;8;8;8;8;8
