"Id";"n_flowers_radish";"n_flowers_sainfoin";"n_flowers_carrot";"n_flowers_comfrey";"total_sampling_effort_min";"sampling_effort_min_carrot";"sampling_effort_min_radish";"sampling_effort_min_sainfoin";"sampling_effort_min_comfrey"
2;352;76;11;91;3180;3180;3180;3180;3180
7;235;26;18;99;2880;1500;2340;1380;1380
8;74;20;27;134;3100;2680;2580;1500;2580
11;296;115;16;249;3240;2160;3240;3240;3240
17;342;62;15;59;2600;2600;2060;2600;2060
19;262;34;20;273;3660;2160;2580;2580;3660
25;447;48;26;329;3410;3040;2890;2890;3410
27;347;42;27;126;4320;3240;4320;2700;4320
28;473;6;12;120;2700;1620;2700;1080;2700
30;341;99;19;172;2960;2400;2420;2780;2420
39;260;21;29;70;510;510;300;300;390
40;258;40;16;202;2900;2700;1820;1820;2900
41;313;45;29;95;3000;1590;1410;2490;2490
47;276;37;19;135;3490;3240;2410;2410;2410
48;377;17;17;52;4080;3600;3000;2520;4080
52;264;40;18;178;2980;2980;2980;2800;2980
53;275;8;17;94;3780;3780;3780;1620;3780
56;385;104;22;84;2870;1620;2690;2870;1250
59;251;30;36;178;3340;3000;2500;3340;3340
71;285;37;25;169;3050;3050;2840;2840;2840
73;388;18;15;104;3240;3240;3240;2160;3240
83;152;39;16;45;2700;2700;2400;2700;2160
84;441;16;34;122;3440;3200;2360;2360;2360
85;327;49;26;47;3200;3200;2120;2120;3200
