"Id";"capture_period";"n_flowers_carrot";"n_flowers_radish";"n_flowers_sainfoin";"n_flowers_comfrey";"total_sampling_effort_min";"sampling_effort_min_carrot";"sampling_effort_min_radish";"sampling_effort_min_sainfoin";"sampling_effort_min_comfrey"
2;2016-06-23;1;178;44;38;1080;1080;1080;1080;1080
2;2016-06-28;1;128;30;45;1020;1020;1020;1020;1020
2;2016-07-07;9;46;2;8;1080;1080;1080;1080;1080
7;2016-06-15;0;119;10;71;420;0;420;420;420
7;2016-06-24;0;96;16;28;960;0;960;960;960
7;2016-07-04;3;20;0;0;960;960;960;0;0
7;2016-07-11;6;0;0;0;360;360;0;0;0
7;2016-07-16;9;0;0;0;180;180;0;0;0
8;2016-06-15;0;51;10;37;420;0;420;420;420
8;2016-06-28;2;13;10;70;1080;1080;1080;1080;1080
8;2016-07-04;8;10;0;27;1080;1080;1080;0;1080
8;2016-07-18;17;0;0;0;520;520;0;0;0
11;2016-06-22;0;230;25;70;1080;0;1080;1080;1080
11;2016-06-29;2;63;32;65;1080;1080;1080;1080;1080
11;2016-07-06;14;3;58;114;1080;1080;1080;1080;1080
17;2016-06-22;1;150;30;45;1040;1040;1040;1040;1040
17;2016-06-29;6;192;28;14;1020;1020;1020;1020;1020
17;2016-07-10;8;0;4;0;540;540;0;540;0
19;2016-06-17;0;57;16;75;480;0;480;480;480
19;2016-06-23;0;199;8;106;1020;0;1020;1020;1020
19;2016-07-08;8;6;10;32;1080;1080;1080;1080;1080
19;2016-07-19;12;0;0;60;1080;1080;0;0;1080
25;2016-06-15;0;118;13;80;370;0;370;370;370
25;2016-06-24;2;317;27;131;1440;1440;1440;1440;1440
25;2016-07-04;2;12;8;53;1080;1080;1080;1080;1080
25;2016-07-11;12;0;0;37;340;340;0;0;340
25;2016-07-18;10;0;0;28;180;180;0;0;180
27;2016-06-22;0;164;20;64;1080;0;1080;1080;1080
27;2016-07-01;9;150;22;39;1620;1620;1620;1620;1620
27;2016-07-09;18;33;0;23;1620;1620;1620;0;1620
28;2016-06-22;0;167;0;75;1080;0;1080;0;1080
28;2016-07-01;7;216;6;25;1080;1080;1080;1080;1080
28;2016-07-09;5;90;0;20;540;540;540;0;540
30;2016-06-15;0;100;7;35;380;0;380;380;380
30;2016-06-24;1;216;29;118;960;960;960;960;960
30;2016-07-04;10;25;10;19;1080;1080;1080;1080;1080
30;2016-07-11;8;0;53;0;360;360;0;360;0
39;2016-06-23;1;95;4;40;120;120;120;120;120
39;2016-06-28;2;130;13;24;60;60;60;60;60
39;2016-07-04;8;35;4;0;120;120;120;120;0
39;2016-07-20;18;0;0;6;210;210;0;0;210
40;2016-06-15;0;93;25;42;200;0;200;200;200
40;2016-06-23;1;160;2;57;1080;1080;1080;1080;1080
40;2016-07-07;7;5;13;40;540;540;540;540;540
40;2016-07-19;8;0;0;63;1080;1080;0;0;1080
41;2016-06-15;0;160;9;58;450;0;450;450;450
41;2016-06-24;0;153;31;26;960;0;960;960;960
41;2016-07-07;16;0;5;11;1080;1080;0;1080;1080
41;2016-07-18;13;0;0;0;510;510;0;0;0
47;2016-06-15;0;75;9;65;250;0;250;250;250
47;2016-06-28;2;113;14;48;1080;1080;1080;1080;1080
47;2016-07-04;8;88;14;22;1080;1080;1080;1080;1080
47;2016-07-18;9;0;0;0;1080;1080;0;0;0
48;2016-06-17;0;142;0;18;480;0;480;0;480
48;2016-06-23;1;225;11;1;1440;1440;1440;1440;1440
48;2016-07-08;5;10;6;9;1080;1080;1080;1080;1080
48;2016-07-19;11;0;0;24;1080;1080;0;0;1080
52;2016-06-22;2;181;18;92;1080;1080;1080;1080;1080
52;2016-06-29;3;27;17;26;640;640;640;640;640
52;2016-07-05;4;16;5;43;1080;1080;1080;1080;1080
52;2016-07-20;9;40;0;17;180;180;180;0;180
53;2016-06-22;1;174;8;56;1620;1620;1620;1620;1620
53;2016-07-01;4;77;0;36;1080;1080;1080;0;1080
53;2016-07-09;12;24;0;2;1080;1080;1080;0;1080
56;2016-06-15;0;85;12;59;390;0;390;390;390
56;2016-06-24;0;258;51;25;860;0;860;860;860
56;2016-07-04;3;27;19;0;1080;1080;1080;1080;0
56;2016-07-11;10;15;9;0;360;360;360;360;0
56;2016-07-18;9;0;13;0;180;180;0;180;0
59;2016-06-15;0;98;9;67;340;0;340;340;340
59;2016-06-28;2;109;13;15;1080;1080;1080;1080;1080
59;2016-07-04;12;44;4;51;1080;1080;1080;1080;1080
59;2016-07-18;22;0;4;45;840;840;0;840;840
71;2016-06-23;1;60;14;37;800;800;800;800;800
71;2016-06-28;1;133;15;84;1080;1080;1080;1080;1080
71;2016-07-07;9;92;8;48;960;960;960;960;960
71;2016-07-17;14;0;0;0;210;210;0;0;0
73;2016-06-22;3;59;5;50;1080;1080;1080;1080;1080
