"Id";"Lat";"Long";"X_KOORDINATE";"Y_KOORDINATE";"Altitude";"Slope";"Aspect";"Overwarming";"Sun_exposure";"Garden_area";"FlowersP";"Urban_50";"Urban_100";"Urban_250";"Urban_500"
2;47.36594;8.56727;685252.6;246731.5;484.5;3;"southwest";2;10;285.13;0.5005;0.449;0.3831;0.4062;0.3929
7;47.41195;8.55008;683880.7;251832.2;429.6;1;"flat";3;11.75;238.11;0.0546;0.876;0.7814;0.7121;0.6705
8;47.4114;8.56489;684998.3;251789.1;430.5;1;"flat";2;11.5;473.53;0.0532;0.2933;0.4015;0.4069;0.4281
11;47.38597;8.4788;678539;248868.2;414;1;"flat";3;12.5;659.18;0.0361;0.268;0.4253;0.4783;0.4344
17;47.33051;8.51483;681354.8;242752.7;460.3;1;"northeast";2;7.25;346.91;0.126;0.3133;0.4075;0.3404;0.2096
19;47.37121;8.54029;683211;247294.1;413.7;1;"flat";5;7.5;510.37;0.086;0.7164;0.9005;0.8074;0.8124
25;47.41818;8.51293;681070.8;252486.7;467.3;1;"flat";2;8.25;695.65;0.1436;0.3802;0.2709;0.3191;0.2954
27;47.3718;8.52387;681967.2;247338;413;1;"flat";4;10;135.9;0.2522;0.7939;0.8594;0.8313;0.8108
28;47.36502;8.51787;681518.3;246581.2;437.6;1;"flat";3;9;407.47;0.2751;0.3895;0.4356;0.5721;0.6129
30;47.41141;8.54855;683770.2;251767.4;432.7;1;"flat";3;11.25;273.56;0.519;0.427;0.6379;0.7643;0.7156
39;47.35501;8.59292;687201.6;245548.5;594.6;1;"flat";1;12.75;791.49;0;0.1761;0.2254;0.1868;0.1908
40;47.39504;8.53483;682756.6;249935.1;463.3;1;"southwest";2;10.5;294.17;0.2069;0.3812;0.4168;0.4504;0.5337
41;47.40449;8.54086;683194.2;250996.1;459.3;1;"flat";2;11.25;444.2;0.0948;0.4348;0.4023;0.338;0.4302
47;47.40683;8.57676;685902.8;251291.2;427.4;1;"flat";2;10.75;286.78;0.6918;0.4495;0.4328;0.4409;0.4719
48;47.37085;8.54572;683618.8;247253.1;431.6;1;"flat";4;10.75;422.19;0.2215;0.882;0.837;0.7895;0.7207
52;47.37545;8.49005;679413.8;247713.5;420.8;1;"flat";3;7;366.65;0.6425;0.6678;0.5571;0.4914;0.4968
53;47.37536;8.52283;681879.6;247730.7;411.1;1;"flat";4;7.75;410.27;0.0616;0.8393;0.8561;0.8422;0.8176
56;47.41576;8.52546;682022.8;252223;445.6;1;"flat";2;8.5;438.86;0.4641;0.2673;0.2025;0.1958;0.2487
59;47.40942;8.57284;685604.6;251578.1;427;1;"flat";2;9.25;455.28;0.0217;0.3739;0.387;0.453;0.4409
71;47.35247;8.58216;686398.4;245253.3;511.2;2;"northeast";1;12;287.17;0.3459;0.1438;0.1586;0.169;0.2147
73;47.38404;8.49875;680050.5;248673.4;405.5;1;"flat";3;12.25;277.13;0.03;0.3862;0.5936;0.6762;0.6968
83;47.40158;8.50386;680413.4;250630.4;473;2;"southwest";2;11;288.03;0.0503;0.3589;0.4094;0.3713;0.3687
84;47.38453;8.5764;685918.7;248815;598.6;1;"flat";1;7.75;281.61;0.1974;0.4032;0.4224;0.4802;0.2562
85;47.39147;8.55135;684011.6;249565.5;547.1;3;"southwest";1;9.25;438.72;0;0.2535;0.2388;0.204;0.2156
