"Id";"SR_total";"SR_cultivated";"SR_spontaneous";"SR_all_insect_pollinated_May_August";"N_all_insect_pollinated_May_August";"SR_spontanous_insect_pollinated_May_August";"N_spontanous_insect_pollinated_May_August";"SR_cultivated_insect_pollinated_May_August";"N_cultivated_insect_pollinated_May_August";"SR_native_insect_pollinated_May_August";"N_native_insect_pollinated_May_August";"SR_alien_insect_pollinated_May_August";"N_alien_insect_pollinated_May_August"
2;148;109;39;120;5260;30;3720;90;1540;57;4061;63;1199
7;69;22;47;54;4890;40;4754;14;136;41;4709;13;181
8;79;51;28;57;950;21;517;36;433;25;620;32;330
11;89;54;35;63;2146;28;1601;35;545;31;1563;32;583
17;71;42;29;53;3094;22;2624;31;470;25;2672;28;422
19;114;75;39;90;5287;33;2675;57;2612;50;4741;40;546
25;132;85;47;100;8095;39;5621;61;2474;55;6449;45;1646
27;117;75;42;94;2583;33;2042;61;541;51;2185;43;398
28;110;75;35;82;4219;28;3447;54;772;40;3689;42;530
30;185;145;40;144;4638;32;3102;112;1536;91;3923;53;715
39;91;23;68;63;10827;50;10006;13;821;49;9964;14;863
40;105;71;34;75;2653;27;1784;48;869;38;2124;37;529
41;131;89;42;93;6211;33;5333;60;878;43;4809;50;1402
47;186;138;48;150;4645;39;3009;111;1636;72;3568;78;1077
48;102;67;35;76;4016;25;1993;51;2023;33;3030;43;986
52;174;138;36;129;2779;28;1279;101;1500;77;2049;52;730
53;125;71;54;87;5188;41;3924;46;1264;52;4022;35;1166
56;171;122;49;134;4611;36;2802;98;1809;89;3935;45;676
59;75;43;32;54;4465;23;3462;31;1003;27;3515;27;950
71;177;131;46;144;5576;34;2671;110;2905;59;4350;85;1226
73;76;46;30;54;1190;22;717;32;473;29;877;25;313
83;90;55;35;63;5090;23;3012;40;2078;45;4418;18;672
84;85;56;29;62;2012;24;969;38;1043;30;1139;32;873
85;82;53;29;54;6124;20;2122;34;4002;44;5982;10;142
