"Response","Model","Observed","Expected","SD","p_value"
"All bees","mod.1",-0.087308,-0.045455,0.063739,0.5114
"All bees (except honeybees)","mod.2",-0.064682,-0.045455,0.063537,0.7622
"Honeybees","mod.3",-0.021446,-0.045455,0.064019,0.7076
"Bumblebees","mod.4",-0.103397,-0.045455,0.063731,0.3633
"Social wild bees","mod.5",-0.066093,-0.045455,0.063968,0.747
"Solitary bees","mod.6",0.004374,-0.045455,0.062435,0.4248
"Wasps","mod.7",0.014267,-0.045455,0.06432,0.3531
"Hoverflies","mod.8",0.1109,-0.045455,0.063213,0.01338
"Beetles","mod.9",0.080866,-0.045455,0.064081,0.04869
"All pollinators","mod.10",-0.092076,-0.045455,0.063587,0.4634
