"Response","Model","Term","Estimate","p_value"
"Hoverflies","Base","(Intercept)",2.286,2.77e-184
"Hoverflies","MEM1","(Intercept)",2.285,1.79e-192
"Hoverflies","MEM1+MEM2","(Intercept)",2.286,4.2e-227
"Hoverflies","MEM1","MEM1",-0.101,0.229
"Hoverflies","MEM1+MEM2","MEM1",-0.104,0.18
"Hoverflies","MEM1+MEM2","MEM2",0.141,0.0487
"Hoverflies","Base","PlantS.1.z",-0.035,0.679
"Hoverflies","MEM1","PlantS.1.z",-0.041,0.615
"Hoverflies","MEM1+MEM2","PlantS.1.z",-0.019,0.808
"Hoverflies","Base","PlantS.1.z:Urban_500.1.z",0.073,0.422
"Hoverflies","MEM1","PlantS.1.z:Urban_500.1.z",0.06,0.498
"Hoverflies","MEM1+MEM2","PlantS.1.z:Urban_500.1.z",0.08,0.331
"Hoverflies","Base","Urban_500.1.z",-0.557,1.01e-11
"Hoverflies","MEM1","Urban_500.1.z",-0.523,4.89e-10
"Hoverflies","MEM1+MEM2","Urban_500.1.z",-0.509,4.75e-11
"Beetles","Base","(Intercept)",-0.458,0.0431
"Beetles","MEM1","(Intercept)",-0.493,0.0262
"Beetles","MEM1+MEM2","(Intercept)",-0.495,0.0255
"Beetles","MEM1","MEM1",-0.454,0.0427
"Beetles","MEM1+MEM2","MEM1",-0.45,0.0438
"Beetles","MEM1+MEM2","MEM2",-0.089,0.671
"Beetles","Base","PlantS.1.z",0.177,0.424
"Beetles","MEM1","PlantS.1.z",0.138,0.507
"Beetles","MEM1+MEM2","PlantS.1.z",0.125,0.552
"Beetles","Base","PlantS.1.z:Urban_500.1.z",-0.064,0.783
"Beetles","MEM1","PlantS.1.z:Urban_500.1.z",-0.139,0.532
"Beetles","MEM1+MEM2","PlantS.1.z:Urban_500.1.z",-0.145,0.513
"Beetles","Base","Urban_500.1.z",-0.743,0.00161
"Beetles","MEM1","Urban_500.1.z",-0.645,0.00497
"Beetles","MEM1+MEM2","Urban_500.1.z",-0.651,0.0046
