Predictor,Response,Observed,Expected,SD,P_value
Abundance,Carrot,0.061192282,-0.045454545,0.064128641,0.096309633
Abundance,Radish fruit set,0.112521251,-0.045454545,0.064048197,0.013643527
Abundance + MEM1,Radish fruit set,-0.050406625,-0.045454545,0.063301694,0.937645244
Abundance,Radish seed set,-0.00326022,-0.045454545,0.063576731,0.506897959
Abundance,Sainfoin,0.130620201,-0.052631579,0.072306649,0.011264982
Abundance + MEM1,Sainfoin,-0.055740224,-0.052631579,0.072779257,0.965930041
Abundance,Comfrey fruit set,-0.072568809,-0.045454545,0.06359408,0.669842199
Abundance,Comfrey seed set,-0.027827646,-0.045454545,0.063841411,0.782467822
Habitat,Carrot,-0.002055833,-0.045454545,0.063401092,0.493652868
Habitat,Radish fruit set,0.235279096,-0.045454545,0.063796414,1.08E-05
Habitat + MEM1,Radish fruit set,-0.0111752,-0.045454545,0.063111345,0.58702196
Habitat,Radish seed set,-0.024567704,-0.045454545,0.063723491,0.743083284
Habitat,Sainfoin,0.107866774,-0.052631579,0.070218914,0.022272664
Habitat + MEM1 + MEM2 + MEM3,Sainfoin,-0.177503675,-0.052631579,0.071691871,0.081545414
Habitat,Comfrey fruit set,-0.143286007,-0.045454545,0.063546248,0.123674554
Habitat,Comfrey seed set,-0.034935808,-0.045454545,0.063461228,0.86835321
