"Model";"AICc";"R2m";"R2c";"DispPar";"meanRF";"shapiroRANEF";"shapiroRESID";"Model.bis";"Scale"
"mod.1_500";247.72;0.34;0.75;1.00714891737531;0.00287;0.712;0.096;"mod.1";500
"mod.2_500";244.48;0.42;0.79;1.00995911582727;0.00346;0.134;0.009;"mod.2";500
"mod.3_500";183.97;0.21;0.52;0.986282728460589;0.0149;0.262;0.453;"mod.3";500
"mod.4_500";151.75;0.22;0.3;0.971512885413778;0.0063;0.04;0.202;"mod.4";500
"mod.5_500";224.42;0.32;0.69;1.00194910162298;0.00528;0.878;0.394;"mod.5";500
"mod.6_500";227.76;0.34;0.83;1.04307015050424;0.01226;0.032;0;"mod.6";500
"mod.7_500";130.59;0.16;0.25;1.09893809167401;0.02291;0.078;0.147;"mod.7";500
"mod.8_500";224.74;0.61;0.84;1.09108533365768;0.00682;0.101;0;"mod.8";500
"mod.9_500";139.87;0.23;0.5;1.05809873391824;0.06091;0.127;0.065;"mod.9";500
"mod.10_500";250.32;0.59;0.81;1.0117220121319;0.0017;0.054;0.01;"mod.10";500
"mod.1_250";248.74;0.32;0.75;1.00494639321884;0.0029;0.992;0.363;"mod.1";250
"mod.2_250";246.75;0.37;0.79;1.00522108299886;0.00355;0.476;0.041;"mod.2";250
"mod.3_250";185.99;0.17;0.52;0.988236382851258;0.01568;0.4;0.763;"mod.3";250
"mod.4_250";158.16;0.16;0.3;0.970410749891635;0.01096;0.01;0.095;"mod.4";250
"mod.5_250";225.75;0.3;0.69;1.00178002459637;0.00539;0.941;0.434;"mod.5";250
"mod.6_250";228.72;0.31;0.83;1.03953272308423;0.01244;0.056;0;"mod.6";250
"mod.7_250";126.69;0.2;0.27;1.08605744361294;0.01603;0.068;0.232;"mod.7";250
"mod.8_250";229.53;0.54;0.85;1.05503484626867;0.00755;0.141;0;"mod.8";250
"mod.9_250";138.77;0.26;0.5;1.0630414337708;0.05709;0.172;0.065;"mod.9";250
"mod.10_250";255.98;0.52;0.81;1.00080658401733;0.00184;0.533;0.381;"mod.10";250
"mod.1_100";248.15;0.33;0.75;1.00521673332135;0.00289;0.999;0.445;"mod.1";100
"mod.2_100";245.24;0.4;0.79;1.00650326601236;0.0035;0.674;0.065;"mod.2";100
"mod.3_100";185.88;0.17;0.51;1.00349157001185;0.01536;0.721;0.241;"mod.3";100
"mod.4_100";159.22;0.14;0.3;0.97531860469349;0.01158;0.007;0.133;"mod.4";100
"mod.5_100";224.92;0.31;0.69;1.00195395765811;0.00532;0.985;0.393;"mod.5";100
"mod.6_100";228.42;0.32;0.83;1.03755781323861;0.01241;0.154;0;"mod.6";100
"mod.7_100";127.44;0.19;0.25;1.1136188832684;0.01485;0.051;0.725;"mod.7";100
"mod.8_100";227.47;0.57;0.85;1.04290566063942;0.00741;0.866;0.002;"mod.8";100
"mod.9_100";135.54;0.31;0.51;1.0506796226974;0.05;0.332;0.289;"mod.9";100
"mod.10_100";254.83;0.54;0.81;1.00072544027125;0.00181;0.611;0.881;"mod.10";100
"mod.1_50";248.19;0.33;0.75;1.00447679104188;0.00289;0.974;0.396;"mod.1";50
"mod.2_50";246.18;0.38;0.79;1.00392515529303;0.00353;0.994;0.346;"mod.2";50
"mod.3_50";187.74;0.14;0.51;1.00275494015332;0.01609;0.64;0.29;"mod.3";50
"mod.4_50";159.05;0.15;0.29;0.982707633336664;0.01122;0.038;0.712;"mod.4";50
"mod.5_50";229.57;0.21;0.69;0.999436003870782;0.00566;0.706;0.35;"mod.5";50
"mod.6_50";227.54;0.34;0.83;1.03474289919597;0.01229;0.497;0;"mod.6";50
"mod.7_50";124.61;0.19;0.24;1.09791466513757;0.01115;0.945;0.145;"mod.7";50
"mod.8_50";235.96;0.42;0.85;1.03370159800433;0.00828;0.953;0;"mod.8";50
"mod.9_50";134.68;0.3;0.5;1.05348721237915;0.04769;0.72;0.007;"mod.9";50
"mod.10_50";259.15;0.47;0.81;0.998643854728097;0.00189;0.869;0.702;"mod.10";50
