"Model" ;"lower" ;"mean" ;"upper" ;"Phytometer" ;"Response" ;"Scale" ;"Pollinator_group" ;"fixeff"
"mod.1" ;3.09635478079429 ;3.20259933660864 ;3.31127198252874 ;"all" ;"Abundance" ;500 ;"allBees" ;"Intercept"
"mod.1" ;0.0761217688230733 ;0.192211189342589 ;0.311850028768516 ;"all" ;"Abundance" ;500 ;"allBees" ;"PlantS.1.z"
"mod.1" ;-0.234689180048339 ;-0.123602568772803 ;-0.014839293245812 ;"all" ;"Abundance" ;500 ;"allBees" ;"Urban_500.1.z"
"mod.1" ;-0.127021913034799 ;-0.00072207475159389 ;0.124683970566875 ;"all" ;"Abundance" ;500 ;"allBees" ;"PlantsxUrban"
"mod.2" ;2.91107209122337 ;3.03094234648537 ;3.1527067171715 ;"all" ;"Abundance" ;500 ;"allBees_noApis" ;"Intercept"
"mod.2" ;0.103077792374471 ;0.230306875541782 ;0.360644159544983 ;"all" ;"Abundance" ;500 ;"allBees_noApis" ;"PlantS.1.z"
"mod.2" ;-0.314406987549515 ;-0.193257684186579 ;-0.0650930654473541 ;"all" ;"Abundance" ;500 ;"allBees_noApis" ;"Urban_500.1.z"
"mod.2" ;-0.118661897039609 ;0.0147038001990809 ;0.152507400936843 ;"all" ;"Abundance" ;500 ;"allBees_noApis" ;"PlantsxUrban"
"mod.3" ;1.04137526525739 ;1.24481943312766 ;1.44748866965518 ;"all" ;"Abundance" ;500 ;"Apis" ;"Intercept"
"mod.3" ;-0.281173114109733 ;-0.0666431378298077 ;0.147211928214525 ;"all" ;"Abundance" ;500 ;"Apis" ;"PlantS.1.z"
"mod.3" ;0.140763297951639 ;0.338244375635001 ;0.541276599867148 ;"all" ;"Abundance" ;500 ;"Apis" ;"Urban_500.1.z"
"mod.3" ;-0.305450616601643 ;-0.0684451763691026 ;0.169603846063184 ;"all" ;"Abundance" ;500 ;"Apis" ;"PlantsxUrban"
"mod.4" ;0.735325875953965 ;0.882005291728702 ;1.02490399998528 ;"all" ;"Abundance" ;500 ;"Bombus" ;"Intercept"
"mod.4" ;0.0939218099420016 ;0.245805866315606 ;0.402922184187104 ;"all" ;"Abundance" ;500 ;"Bombus" ;"PlantS.1.z"
"mod.4" ;-0.448289904622166 ;-0.30043834685028 ;-0.154184643385915 ;"all" ;"Abundance" ;500 ;"Bombus" ;"Urban_500.1.z"
"mod.4" ;-0.0722275032553216 ;0.0910962167563064 ;0.251080859213965 ;"all" ;"Abundance" ;500 ;"Bombus" ;"PlantsxUrban"
"mod.5" ;2.37730453605335 ;2.50685194498289 ;2.63866883791672 ;"all" ;"Abundance" ;500 ;"socialBees" ;"Intercept"
"mod.5" ;-0.0296707522416137 ;0.11383404259977 ;0.256375406356555 ;"all" ;"Abundance" ;500 ;"socialBees" ;"PlantS.1.z"
"mod.5" ;-0.380499167163097 ;-0.24733220910362 ;-0.108863199545913 ;"all" ;"Abundance" ;500 ;"socialBees" ;"Urban_500.1.z"
"mod.5" ;-0.211580336243488 ;-0.0532523037194675 ;0.0984177001686067 ;"all" ;"Abundance" ;500 ;"socialBees" ;"PlantsxUrban"
"mod.6" ;1.6759659437566 ;1.9231028078758 ;2.16752821459194 ;"all" ;"Abundance" ;500 ;"solitaryBees" ;"Intercept"
"mod.6" ;0.209002273551722 ;0.47754261569771 ;0.742346682349839 ;"all" ;"Abundance" ;500 ;"solitaryBees" ;"PlantS.1.z"
"mod.6" ;-0.403440623826322 ;-0.146033201153191 ;0.104769991588783 ;"all" ;"Abundance" ;500 ;"solitaryBees" ;"Urban_500.1.z"
"mod.6" ;-0.137932770054346 ;0.147047213318638 ;0.429355439500412 ;"all" ;"Abundance" ;500 ;"solitaryBees" ;"PlantsxUrban"
"mod.7" ;-0.51975988272223 ;-0.253999214625246 ;0.0205392917028587 ;"all" ;"Abundance" ;500 ;"otherAculeata" ;"Intercept"
"mod.7" ;0.0431910319305248 ;0.321787710294856 ;0.598159729404137 ;"all" ;"Abundance" ;500 ;"otherAculeata" ;"PlantS.1.z"
"mod.7" ;-0.759041296927699 ;-0.478852589268987 ;-0.197869932374498 ;"all" ;"Abundance" ;500 ;"otherAculeata" ;"Urban_500.1.z"
"mod.7" ;-0.311289906285851 ;-0.0214066632269351 ;0.279004013931302 ;"all" ;"Abundance" ;500 ;"otherAculeata" ;"PlantsxUrban"
"mod.8" ;2.13495489369404 ;2.28593052375231 ;2.44182037697696 ;"all" ;"Abundance" ;500 ;"Syrphidae" ;"Intercept"
"mod.8" ;-0.202182924185614 ;-0.0359024853361929 ;0.130604231837321 ;"all" ;"Abundance" ;500 ;"Syrphidae" ;"PlantS.1.z"
"mod.8" ;-0.717564458044393 ;-0.556877455136385 ;-0.401232088921501 ;"all" ;"Abundance" ;500 ;"Syrphidae" ;"Urban_500.1.z"
"mod.8" ;-0.106003863060944 ;0.0718244762181394 ;0.252674958830616 ;"all" ;"Abundance" ;500 ;"Syrphidae" ;"PlantsxUrban"
"mod.9" ;-0.869318721164077 ;-0.455105550570427 ;-0.0377461123795762 ;"all" ;"Abundance" ;500 ;"Coleoptera" ;"Intercept"
"mod.9" ;-0.263094953653498 ;0.174875998431206 ;0.606838120213212 ;"all" ;"Abundance" ;500 ;"Coleoptera" ;"PlantS.1.z"
