"Model";"Mean_x0";"2.5%_CI_x0";"97.5%_CI_x0";"Mean_x1";"2.5%_CI_x1";"97.5%_CI_x1";"Mean_x2";"2.5%_CI_x2";"97.5%_CI_x2";"Mean_x3";"2.5%_CI_x3";"97.5%_CI_x3"
"mod.1";3.2;3.09;3.31;0.19;0.07;0.31;-0.12;-0.23;-0.01;0;-0.13;0.13
"mod.2";3.03;2.91;3.15;0.23;0.1;0.36;-0.19;-0.31;-0.07;0.01;-0.12;0.16
"mod.3";1.25;1.05;1.45;-0.07;-0.28;0.15;0.34;0.14;0.54;-0.07;-0.31;0.18
"mod.4";0.88;0.74;1.02;0.25;0.1;0.4;-0.3;-0.45;-0.16;0.09;-0.07;0.25
"mod.5";2.51;2.37;2.64;0.11;-0.03;0.25;-0.25;-0.38;-0.11;-0.06;-0.21;0.1
"mod.6";1.92;1.68;2.18;0.48;0.21;0.74;-0.15;-0.4;0.1;0.15;-0.14;0.43
"mod.7";-0.26;-0.52;0.02;0.32;0.04;0.6;-0.48;-0.76;-0.2;-0.02;-0.32;0.27
"mod.8";2.29;2.13;2.44;-0.03;-0.2;0.13;-0.56;-0.72;-0.39;0.07;-0.1;0.25
"mod.9";-0.46;-0.87;-0.05;0.18;-0.25;0.62;-0.74;-1.18;-0.29;-0.06;-0.52;0.41
"mod.10";3.63;3.56;3.71;0.12;0.04;0.2;-0.26;-0.33;-0.18;0.03;-0.05;0.12
"mod.11";1.22;1.13;1.31;0.12;0.02;0.22;-0.18;-0.27;-0.08;0.05;-0.05;0.15
"mod.12";1.17;1.07;1.26;0.13;0.03;0.23;-0.18;-0.28;-0.09;0.05;-0.05;0.16
"mod.14";-0.55;-0.76;-0.32;0.11;-0.12;0.35;-0.11;-0.33;0.11;0.03;-0.23;0.29
"mod.15";0.24;0.1;0.39;0.07;-0.09;0.23;-0.16;-0.31;-0.01;0.01;-0.16;0.18
"mod.16";0.54;0.41;0.67;0.19;0.06;0.32;-0.18;-0.31;-0.05;0.1;-0.04;0.25
"mod.17";-0.57;-0.82;-0.32;0.17;-0.1;0.45;-0.47;-0.73;-0.21;-0.11;-0.39;0.16
"mod.18";0.6;0.47;0.72;-0.02;-0.16;0.12;-0.33;-0.46;-0.2;0.06;-0.09;0.2
"mod.19";-0.71;-1.03;-0.39;-0.03;-0.38;0.33;-0.58;-0.92;-0.23;-0.18;-0.54;0.19
"mod.20";1.85;1.78;1.93;0.08;0;0.16;-0.28;-0.36;-0.2;0.01;-0.08;0.1
